Woonplaats,Adres,Woning,Doelgroep,Publicatiedatum,Reacties,Verantwoording,Publicatiemodel
Amsterdam,Bos en Lommerplantsoen 39-P,Portiekwoning - 1 kamers,Jongeren,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Wiborgeiland 38,Galerijflat - 3 kamers,Gezin,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Florapad 4,Benedenwoning - 3 kamers,Gezin,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 368,Tussenwoning - 1 kamers,Jongeren,19-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 304,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 450,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 520,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 738,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 516,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 338,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 504,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Sijpestein 126,Benedenwoning - 2 kamers,Gezin,18-04-2024,44 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Nova Zemblastraat 555,Portiekwoning - 2 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Govert Flinckstraat 53 E,Portiekflat - 2 kamers,Gezin,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 710,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 480,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 490,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 610,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Willemsstraat 172-B,Portiekflat - 2 kamers,Persoon,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 654,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 376,Tussenwoning - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Waterschapstraat 107,Tussenwoning - 4 kamers,Gezin,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Statenjachtstraat 734-A,Galerijflat - 3 kamers,Senioren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tweede Constantijn Huygensstraat 39-D 6,Corridorflat - 1 kamers,Jongeren,18-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Aalsmeer,Ketelhuis 60,Portiekwoning - 3 kamers,Gezin,17-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Aalsmeer,Vlinderweg 108,Tussenwoning - 5 kamers,Gezin,17-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Kudelstaart,Calveslo 66,Portiekflat - 3 kamers,Gezin,17-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Nijl 9,Galerijflat - 2 kamers,Gezin,17-04-2024,53 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 476,Tussenwoning - 1 kamers,Jongeren,17-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Nieuw-Vennep,Vronen 13,Hoekwoning - 3 kamers,Gezin,17-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Burgemeester Kasteleinstraat 65,Tussenwoning - 4 kamers,Gezin,17-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Aalsmeer,Anjerhof 35,Galerijflat - 3 kamers,Persoon,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Rijtuigenhof 10 A,Portiekflat - 1 kamers,Gezin,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandijk,John Lennonstraat 184,Corridorflat - 3 kamers,Senioren,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Derde Wittenburgerdwarsstraat 30,Portiekwoning - 2 kamers,Gezin,16-04-2024,18 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Erich Salomonstraat 151 K,Portiekwoning - 1 kamers,Jongeren,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Postjesweg 130 H,Galerijflat - 4 kamers,Gezin,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Niasstraat 54 B,Portiekwoning - 2 kamers,Gezin,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Sinderenstraat 71,Tussenwoning - 4 kamers,Gezin,16-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Praam 202,Portiekflat - 2 kamers,Gezin,16-04-2024,47 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tweede Kostverlorenkade 145 H,Benedenwoning - 3 kamers,Gezin,15-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Jeanne d'Arclaan 312,Galerijflat - 4 kamers,Gezin,15-04-2024,45 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Davisstraat 135,Portiekwoning - 2 kamers,Persoon,15-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Fannius Scholtenstraat 35-B,Portiekwoning - 3 kamers,Gezin,15-04-2024,77 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Hoofddorp,Bervoetsbos 62,Galerijflat - 2 kamers,Jongeren,15-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Statenjachtstraat 268,Galerijflat - 2 kamers,Gezin,12-04-2024,19 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Colnot en Poonshof 20,Tussenwoning - 4 kamers,Gezin,12-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Zeeburgerdijk 105-A,Benedenwoning - 3 kamers,Gezin,12-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Landsmeer,De Poort 5,Benedenwoning - 2 kamers,Gezin,12-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Marcellus Emantsstraat 15 -H,Benedenwoning - 2 kamers,Jongeren,12-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandam,Pieter Lakplantsoen 24,Galerijflat - 3 kamers,Gezin,12-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Dr. Willem Dreesweg 346,Galerijflat - 3 kamers,Senioren,11-04-2024,6 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Louwesweg 161,Portiekwoning - 1 kamers,Jongeren,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Merelstraat 4 H,Benedenwoning - 3 kamers,Persoon,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Dignahoeve 266,Corridorflat - 2 kamers,Senioren,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Waterschapstraat 107,Tussenwoning - 4 kamers,Gezin,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Bosbraakhof 24,Benedenwoning - 4 kamers,Gezin,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Willemsstraat 147 -2R,Bovenwoning - 2 kamers,Jongeren,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Mattheus Sladushof 2,Tussenwoning - 4 kamers,Gezin,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandijk,John Lennonstraat 170,Corridorflat - 3 kamers,Senioren,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Gerard Callenburgstraat 22 -1,Portiekflat - 2 kamers,Gezin,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Hoofddorp,Legmeerstraat 33,Benedenwoning - 5 kamers,Gezin,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Nieuw-Vennep,Helsinkilaan 61,Bovenwoning - 3 kamers,Persoon,11-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Rozenstraat 5 A,Benedenwoning - 3 kamers,Gezin,11-04-2024,48 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Burgemeester Vening Meineszlaan 160,Portiekwoning - 2 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Landsmeer,Tormentilstraat 15,Tussenwoning - 4 kamers,Gezin,10-04-2024,2 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Ostadestraat 69 -B,Portiekflat - 3 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 366,Tussenwoning - 1 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Zuiderzeeweg 14 A 4,Galerijflat - 1 kamers,Jongeren,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Jacques Veltmanstraat 391,Galerijflat - 3 kamers,Gezin,10-04-2024,0 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 430,Tussenwoning - 1 kamers,Jongeren,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Speerstraat 19 2,Maisonnette - 3 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandam,Joachim Kleinsorgstraat 50,Corridorflat - 2 kamers,Zorg,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Eosstraat 160,Corridorflat - 3 kamers,Senioren,10-04-2024,68 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Anske Lammingastraat 29 1,Portiekwoning - 4 kamers,Gezin,10-04-2024,18 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Westzaan,Lambert Meliszstraat 43,Corridorflat - 2 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Hoofddorp,Boschplaat 124,Portiekwoning - 2 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandam,Kalf 390,Benedenwoning - 2 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Hermitagelaan 89,Galerijflat - 3 kamers,Senioren,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Ringslangpad 313,Corridorflat - 1 kamers,Jongeren,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Pienemanstraat 82,Portiekwoning - 4 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Blankenstraat 26 HS,Portiekwoning - 2 kamers,Gezin,10-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Ternatestraat 46 3,Portiekwoning - 1 kamers,Gezin,10-04-2024,4 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Statenjachtstraat 662-A,Galerijflat - 2 kamers,Senioren,09-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Waaigat 38,Portiekwoning - 2 kamers,Jongeren,09-04-2024,218 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Molukkenstraat 122 G,Portiekwoning - 3 kamers,Gezin,09-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Druivenstraat 28-H,Benedenwoning - 2 kamers,Jongeren,09-04-2024,89 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Zaandijk,John Lennonstraat 228,Corridorflat - 3 kamers,Senioren,09-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Ottho Heldringstraat 19 M,Portiekwoning - 2 kamers,Gezin,09-04-2024,80 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Eerste Kostverlorenkade 17 -3,Portiekflat - 2 kamers,Gezin,09-04-2024,1875 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Nolensstraat 5 -H,Portiekwoning - 4 kamers,Gezin,09-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Aalsmeer,Ketelhuis 26,Portiekwoning - 3 kamers,Gezin,09-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Statenjachtstraat 44,Galerijflat - 3 kamers,Gezin,09-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Brink 27 -B,Benedenwoning - 2 kamers,Gezin,08-04-2024,2671 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Charlotte de Bourbonstraat 18 H,Galerijflat - 3 kamers,Gezin,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Voetbalstraat 215,Tussenwoning - 1 kamers,Jongeren,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Ouderkerk aan de Amstel,Jan Persijnstraat 15,Tussenwoning - 4 kamers,Gezin,08-04-2024,3062 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Kudelstaart,Anne Frankstraat 68,Portiekwoning - 3 kamers,Gezin,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Landsmeer,Zultestraat 28,Tussenwoning - 4 kamers,Gezin,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Uithoorn,Roodhalsgans 3,Galerijflat - 3 kamers,Gezin,08-04-2024,3 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Vijzelgracht 5 1,Bovenwoning - 2 kamers,Gezin,08-04-2024,18 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Davisstraat 91,Benedenwoning - 2 kamers,Gezin,08-04-2024,17 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Handbalstraat 550,Kamer - 1 kamers,Jongeren,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Handbalstraat 728,Tussenwoning - 1 kamers,Jongeren,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Vechtstraat 74 -1,Portiekflat - 2 kamers,Gezin,08-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Jacob van Weesenbekestraat 12 HS,Benedenwoning - 2 kamers,Gezin,05-04-2024,22 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Purmerend,Torenmolen 10,Tussenwoning - 5 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Bart van Hovestraat 4 -3,Portiekwoning - 4 kamers,Gezin,05-04-2024,3558 reacties,De woning is verhuurd aan de 7e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Bijlmerplein 925,Portiekflat - 3 kamers,Gezin,05-04-2024,1329 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Prinsengracht 681 -B,Portiekwoning - 1 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Grubbehoeve 109,Galerijflat - 3 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Postjesweg 28 1,Portiekwoning - 3 kamers,Jongeren,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Weesp,Jacob Marisstraat 24,Tussenwoning - 4 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Robert Fruinlaan 6 H,Portiekwoning - 4 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Marnixstraat 22 -2-R,Bovenwoning - 2 kamers,Jongeren,05-04-2024,1332 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amstelveen,Watercirkel 372,Portiekflat - 1 kamers,Jongeren,05-04-2024,0 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Watercirkel 524,Portiekflat - 1 kamers,Jongeren,05-04-2024,0 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Fideliolaan 452,Galerijflat - 3 kamers,Jongeren,05-04-2024,986 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Brinkstraat 28-H,Benedenwoning - 2 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Nieuw-Vennep,Bosstraat 97,Tussenwoning - 5 kamers,Gezin,05-04-2024,643 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Sarphatistraat 268,Corridorflat - 2 kamers,Jongeren,05-04-2024,299 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Solebaystraat 79 3,Portiekwoning - 3 kamers,Jongeren,05-04-2024,1278 reacties,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Krommenie,Durghorstplantsoen 78,Galerijflat - 3 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Wijnmalenplantsoen 17,Tussenwoning - 4 kamers,Gezin,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,J.H. Hisgenpad 26,Corridorflat - 1 kamers,Jongeren,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Termini 21-K 8,Bovenwoning - 1 kamers,Jongeren,05-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Prinseneiland 425,Portiekwoning - 2 kamers,Persoon,04-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Handbalstraat 532 A,Kamer - 1 kamers,Jongeren,04-04-2024,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Acacialaan 73,Benedenwoning - 2 kamers,Gezin,04-04-2024,49 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
