Datum;Omschrijving;Debet;Credit;Referentie
01-11-2023;"VF:412 - VvE-bijdrage nov-2023; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-11-2023;"VF:411 - VvE-bijdrage nov-2023; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-11-2023;"VF:407 - VvE-bijdrage nov-2023; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-11-2023;"VF:404 - VvE-bijdrage nov-2023; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-11-2023;"VF:403 - VvE-bijdrage nov-2023; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-11-2023;"VF:389 - VvE-bijdrage nov-2023; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-11-2023;"VF:384 - VvE-bijdrage nov-2023; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-11-2023;"VF:378 - VvE-bijdrage nov-2023; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-11-2023;"VF:372 - VvE-bijdrage nov-2023; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-11-2023;"VF:366 - VvE-bijdrage nov-2023; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-11-2023;"VF:365 - VvE-bijdrage nov-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
01-12-2023;"VF:442 - VvE-bijdrage dec-2023; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-12-2023;"VF:520 - VvE-bijdrage dec-2023; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-12-2023;"VF:510 - VvE-bijdrage dec-2023; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-12-2023;"VF:509 - VvE-bijdrage dec-2023; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-12-2023;"VF:507 - VvE-bijdrage dec-2023; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
01-12-2023;"VF:499 - VvE-bijdrage dec-2023; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-12-2023;"VF:498 - VvE-bijdrage dec-2023; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-12-2023;"VF:494 - VvE-bijdrage dec-2023; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-12-2023;"VF:491 - VvE-bijdrage dec-2023; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-12-2023;"VF:490 - VvE-bijdrage dec-2023; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-12-2023;"VF:476 - VvE-bijdrage dec-2023; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-12-2023;"VF:471 - VvE-bijdrage dec-2023; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-12-2023;"VF:465 - VvE-bijdrage dec-2023; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-12-2023;"VF:459 - VvE-bijdrage dec-2023; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-12-2023;"VF:453 - VvE-bijdrage dec-2023; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-12-2023;"VF:452 - VvE-bijdrage dec-2023; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
01-12-2023;"VF:450 - VvE-bijdrage dec-2023; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-12-2023;"VF:515 - VvE-bijdrage dec-2023; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-01-2024;"VF:531 - VvE-bijdrage jan-2024; A-166 - Molukkenstraat 529 (Woning met berging)";;€42,37;
01-01-2024;"VF:611 - VvE-bijdrage jan-2024; A-164 - Molukkenstraat 533 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-036 - Molukkenstraat 499 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-038 - Molukkenstraat 495 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-074 - Molukkenstraat 505 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-116 - Molukkenstraat 511 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-118 - Molukkenstraat 507 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-159 - Molukkenstraat 543 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-162 - Molukkenstraat 537 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-163 - Molukkenstraat 535 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-170 - Molukkenstraat 521 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-172 - Molukkenstraat 517 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-174 - Molukkenstraat 513 (Woning met berging)";;€42,37;
01-01-2024;"VF:541 - VvE-bijdrage jan-2024; A-175 - Molukkenstraat 435 (Woning met berging)";;€42,37;
01-01-2024;"VF:547 - VvE-bijdrage jan-2024; A-161 - Molukkenstraat 539 (Woning met berging)";;€42,37;
01-01-2024;"VF:553 - VvE-bijdrage jan-2024; A-167 - Molukkenstraat 527 (Woning met berging)";;€42,37;
01-01-2024;"VF:558 - VvE-bijdrage jan-2024; A-160 - Molukkenstraat 541 (Woning met berging)";;€42,37;
01-01-2024;"VF:563 - VvE-bijdrage jan-2024; A-037 - Molukkenstraat 497 (Woning met berging)";;€42,37;
01-01-2024;"VF:577 - VvE-bijdrage jan-2024; A-177 - Molukkenstraat 431 (Woning met berging)";;€42,37;
01-01-2024;"VF:578 - VvE-bijdrage jan-2024; A-176 - Molukkenstraat 433 (Woning met berging)";;€42,37;
01-01-2024;"VF:581 - VvE-bijdrage jan-2024; A-158 - Molukkenstraat 545 (Woning met berging)";;€42,37;
01-01-2024;"VF:585 - VvE-bijdrage jan-2024; A-171 - Molukkenstraat 519 (Woning met berging)";;€42,37;
01-01-2024;"VF:586 - VvE-bijdrage jan-2024; A-117 - Molukkenstraat 509 (Woning met berging)";;€42,37;
01-01-2024;"VF:594 - VvE-bijdrage jan-2024; A-165 - Molukkenstraat 531 (Woning met berging)";;€42,37;
01-01-2024;"VF:596 - VvE-bijdrage jan-2024; A-075 - Molukkenstraat 503 (Woning met berging)";;€42,37;
01-01-2024;"VF:597 - VvE-bijdrage jan-2024; A-169 - Molukkenstraat 523 (Woning met berging)";;€42,37;
01-01-2024;"VF:602 - VvE-bijdrage jan-2024; A-168 - Molukkenstraat 525 (Woning met berging)";;€42,37;
01-01-2024;"VF:607 - VvE-bijdrage jan-2024; A-173 - Molukkenstraat 515 (Woning met berging)";;€42,37;
01-01-2024;"VF:540 - VvE-bijdrage jan-2024; A-076 - Molukkenstraat 501 (Woning met berging)";;€42,37;
